"feature","coefficient"
"modelEscalade Premium",-2963.89324252933
"modelTT 2.0T",-2962.28153783782
"engine184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-2961.98914965582
"modelMKC Select",-2958.58285712952
"ext_col.Ruby Red Metallic Tinted Clearcoat",-2958.50974748469
"int_col.Cappuccino",-2958.3334064617
"engine485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel",2952.9454472365
"engine2.5L I4 16V",-2951.78998253866
"engine350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel",2950.44928921509
"modelArteon 2.0T SE",-2950.36428814413
"modelRanger XLT SuperCab",-2950.2698044871
"ext_col.Pure White",-2949.73430856464
"engine333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-2947.91722814792
"modelTundra Hybrid TRD Pro",2946.16829991769
"modelBolt EUV Premier",-2944.17900912779
"engine370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel",2944.17661908491
"engine1.5L I4 16V GDI DOHC Turbo",-2944.16217041474
"modelOutback 2.5i Premium",-2942.41129863811
"modelSierra 1500 SLE Crew Cab",-2942.1473479573
"model530 i xDrive",-2941.97939952558
"modelArmada LE",-2938.72127060959
"modelMazda3 s Grand Touring",-2937.40177200472
"ext_col.Graphite Grey",-2937.17870638033
"engine235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-2936.85608022063
"modelNX 200t Base",-2936.73074406743
"model440 Gran Coupe 440i xDrive",-2936.09924133044
"int_col.Medium Dark Slate",-2934.41051816857
"engine3.5L V6 24V MPFI DOHC",-2933.89393587476
"engine300.0HP 6.6L 8 Cylinder Engine Diesel Fuel",-2931.74855118095
"modelSierra 3500 SLE",-2931.33391117227
"modelBronco Sport Big Bend",-2931.12497832421
"modelES 300h Base",-2929.65019513793
"engine265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-2927.60150967598
"modelG90 5.0 Ultimate",-2927.39571619693
"modelSanta Fe SEL",-2924.47653020424
"modelQ5 2.0T Premium Plus",-2918.72636487047
"modelXF 35t Prestige",-2917.6458892918
"engine310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel",-2914.13937399574
"engine426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",-2913.63334891093
"engine3.6L V6 24V MPFI DOHC Flexible Fuel",-2912.5511301155
"engine463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",2910.9622302297
"modelBronco Sport Outer Banks",-2909.99759017191
"modelWrangler 80th Anniversary",-2905.6613487366
"modelSilverado 1500 Base",-2903.78213878475
"model1500 Classic SLT",-2903.13240352213
"modelSanta Fe Sport 2.0L Turbo Ultimate",-2901.7674251731
"transmission.CVT Transmission",-2901.59259417662
"engine5.7 Liter",2901.10556084045
"modelLand Cruiser",2900.97914484979
"modelExplorer XLT",-2898.11250653021
"engine1.2L I3 12V GDI DOHC Turbo",-2897.99626352178
"modelTrailblazer LS",-2897.89626107462
"modelTouareg V6 Executive",-2897.23962807272
"engine290.0HP 4.3L 8 Cylinder Engine Gasoline Fuel",-2896.99096977968
"modelLS 430 Base",-2896.95104137617
"modelCherokee Sport",-2896.81489998648
"modelMazda6 Touring",-2896.64749082308
"modelTLX V6 Advance",-2896.38803541913
"modelTL Technology",-2895.87329706543
"modelNiro EV EX",-2895.52458869448
"engine210.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-2895.17580742375
"modelForester 2.5 XT",-2894.90814523083
"engine3.0L V6 Cylinder Engine Diesel Fuel",-2892.27063478537
"modelModel S 75D",-2892.2676309027
"modelA8 L 4.0T",-2891.00698421941
"modelCX-9 Touring",-2888.9970556037
"modelE-Class E 550",-2882.11580176782
"modelArmada Platinum",-2878.48834229508
"modelRover Range Rover Velar R-Dynamic SE",-2876.98707683798
"modelWRX Premium",-2873.3962240777
"engine246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-2872.45396663557
"engine450.0HP 6.7L 8 Cylinder Engine Diesel Fuel",2871.74450107613
"engine240.0HP 3.0L V6 Cylinder Engine Diesel Fuel",-2870.72291639549
"modelGolf Alltrack TSI SE",-2866.83151294832
"modelCamaro Z28",-2863.67159802687
"engine283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability",-2862.72612256698
"ext_col.Gecko Pearlcoat",-2862.53177932802
"modelRover Range Rover Velar SVAutobiography Dynamic Edition",2861.38184427681
"modelMX-5 Miata RF Grand Touring",-2861.24037611438
"int_col.Navy Pier",-2858.10577877605
"modelMaverick XL",-2858.09219124192
"modelCX-30 2.5 S Select Package",-2855.91122819307
"engine2.5L I4 16V GDI DOHC",-2855.21796252342
"modelRC 350 Base",-2854.86350301711
"modelSupra A91 Edition",2854.00553503167
"engine208.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid",-2853.40391540206
"engine389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas",2851.86431247409
"modelX5 PHEV xDrive45e",2851.65458301535
"brandHonda",-2851.2872432977
"engine228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-2850.71117539845
"engine390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel",-2846.36887348785
"int_col.Canberra Beige",-2845.79694247619
"modelRanger Lariat",-2844.62236056548
"modelLeaf SV PLUS",-2842.39694537163
"engine214.0HP Electric Motor Electric Fuel System",-2842.30507842186
"modelEscalade ESV Base",-2839.33461614813
"engine170.0HP 1.5L 4 Cylinder Engine Gasoline Fuel",-2839.28488813129
"model750 750i xDrive",2830.37667404689
"modelNV200 SV",-2829.90676539905
"engine191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-2828.00050219768
"modelThunderbird Deluxe",-2823.43902489241
"modelCanyon Elevation Standard",-2820.33222022803
"modelRomeo Stelvio Ti Sport",-2819.56749063408
"modelCrosstrek 2.0i Premium",-2812.82924391459
"engine2.3L I4 16V GDI DOHC Turbo",-2811.18882134804
"ext_col.Chalk",2808.07180183193
"modelCamaro 2LT",-2805.11689601997
"modelTacoma Base",-2804.23968695014
"model86 Base",-2804.06628126629
"modelMalibu Premier",-2803.24522073641
"modelWrangler Rubicon",-2796.5081697717
"ext_col.Eiger Grey",2794.82096895484
"engine282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel",-2792.87192737206
"modelTundra SR5 Double Cab",-2792.67070595318
"modelSuburban 1500 LT",-2791.94415859285
"modelX6 M50i",2789.79664460061
"model86 860 Special Edition",-2789.52141717307
"int_col.Graphite",-2788.75805885677
"modelXF 25t Prestige",-2788.00494138003
"ext_col.Rosso",-2783.58394325492
"ext_col.Bronze Dune Metallic",-2780.09354220425
"modelMDX 3.7L Advance",-2779.98935370251
"modelSonata Hybrid Limited",-2777.1298925493
"engine1.3L I3 12V GDI DOHC Turbo",-2775.85097315553
"modelTT RS Base",-2774.97779608857
"engine360.0HP 2.5L 5 Cylinder Engine Gasoline Fuel",-2774.84192785188
"model3500 Tradesman",2772.47675240016
"engine400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel",2772.38948202831
"engine263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel",-2769.69081495504
"engine320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel",-2769.46769911822
"modelRX 350 Crafted Line F Sport",-2767.88776046058
"engine444.0HP 4.7L 8 Cylinder Engine Gasoline Fuel",-2767.57274758783
"modelRover Range Rover P525 HSE SWB",2766.0488492792
"modelM6 Gran Coupe Base",2764.722417562
"engine420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-2764.69397664204
"transmission.Automatic CVT",-2761.16459019846
"ext_col.Midnight Silver Metallic",-2760.76864294102
"transmission.4-Speed Automatic",-2758.44514639835
"modelRover Discovery HSE LUXURY",-2757.58851839586
"modelA6 3.0T Premium Plus",-2756.03208352047
"ext_col.Twilight Black",-2753.30175851953
"modelM240 i",-2753.07747442351
"modelCayenne S",-2752.22408625605
"int_col.White",2751.84803694401
"modelIS 350 Base",-2750.60208330965
"brandKia",-2750.01503913351
"engine3.5L V6 24V GDI DOHC",-2746.30188821285
"int_col.Adrenaline Red",2746.13440549118
"ext_col.Silver Flare Metallic",2745.99386272769
"transmission.8-Speed Manual",2745.75478600728
"engine205.0HP 3.8L V6 Cylinder Engine Gasoline Fuel",-2744.21585039873
"engine340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel",2738.45263107088
"modelCayman GTS",2738.263831517
"engine493.0HP 5.5L 12 Cylinder Engine Gasoline Fuel",-2736.59779359927
"modelE-Class E 550 4MATIC",-2733.40767710927
"ext_col.Crystal Black Pearl",-2733.10294277864
"engine258.0HP 3.2L V6 Cylinder Engine Gasoline Fuel",-2731.64264177742
"engine250.0HP 5.9L Straight 6 Cylinder Engine Diesel Fuel",-2730.03994868574
"modelImpreza WRX Base",-2729.95890019541
"modelX5 M50i",2727.4694325283
"engine316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel",-2726.09702626628
"engine380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel",-2725.83150295395
"modelSierra 3500 Denali",2725.69035295373
"modelHardtop Cooper",-2724.86932742636
"engine230.0HP 5.2L 8 Cylinder Engine Gasoline Fuel",-2724.3952223653
"modelES 350 Base",-2720.42292576899
"engine320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability",-2719.65860146464
"model135 is",-2719.22720546016
"engine707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",2718.48165936142
"modelM5 Competition",2717.41611960021
"modelGX 470 Base",-2715.81393202111
"modelEnclave Premium",-2713.16178298938
"modelContinental GTC V8",2712.98420415914
"model240SX Base",-2709.27740454997
"engine400.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",-2706.09029053212
"engine420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel",-2702.07086154584
"engine420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",-2696.59747745119
"modelTacoma PreRunner",-2693.51903806247
"engine308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-2692.36500209023
"modelQ3 2.0T Premium Plus",-2682.52136394787
"engine134.0HP 1.5L 3 Cylinder Engine Gasoline Fuel",-2681.98614774485
"modelGL-Class GL 550 4MATIC",-2678.06126853526
"engine340.0HP 8.1L 8 Cylinder Engine Gasoline Fuel",-2675.76256005675
"modelSierra 2500 SLE H/D Extended Cab",-2675.72371160165
"modelEnvision Preferred",-2674.89133906034
"modelExplorer sport",-2671.39714295192
"model370Z NISMO",-2669.05957360011
"modelCX-9 Signature",-2668.03715213466
"ext_col.Dark Graphite Metallic",-2667.73797163435
"engine265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-2665.6990791366
"modelCX-30 Preferred",-2663.45387533113
"modelBRZ Limited",-2663.30507967824
"modelF-250 XL Crew Cab Super Duty",-2663.15975819764
"modelX4 M40i",2661.92005262079
"modelA7 3.0T Prestige",-2661.21967870914
"modelS60 T6 Momentum",-2661.02465642981
"engine2.0 Liter TSI",-2654.82724678013
"int_col.Titan Black",-2654.053045451
"modelRanger XLT",-2653.20835902678
"ext_col.Brilliant Silver Metallic",-2651.34297062235
"engine154.0HP 2.7L 5 Cylinder Engine Diesel Fuel",-2650.72458631136
"modelSprinter 2500 High Roof",-2650.59462523952
"modelAvalanche 1500 LT",-2649.35436252273
"ext_col.Cayenne Red Tintcoat",2648.5740163519
"modelATS 2.5L Luxury",-2646.06976699424
"modelExplorer Limited",-2646.01572220788
"engine296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",2645.30150607343
"modelRover Defender S",2645.24994993172
"int_col.Almond Beige",-2644.20812444506
"modelDurango SRT 392",2644.19689647605
"modelSL-Class SL600 Roadster",-2642.59172425255
"modelConvertible Cooper",-2637.36546546779
"int_col.Macchiato",-2634.78985671692
"ext_col.Black Clearcoat",-2626.53587159096
"modelGolf R 4-Door",-2618.89142148311
"modelRover Range Rover Evoque S",-2617.28798300221
"int_col.Ebony / Pimento",2614.35290892335
"ext_col.Santorini Black",2614.22827059054
"engineV8",2613.6562375597
"engineHEMI 5.7L V-8 variable valve control, regular unleaded, engine w",-2613.51656452282
"modelWagoneer Series II 4x4",-2613.45921985677
"ext_col.Midnight Blue Metallic",2612.56619775496
"modelX1 xDrive28i",-2611.47648462278
"modelExpress 3500 Base",-2606.07230303232
"engine389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel",2604.88660014309
"ext_col.Rapid Red Metallic Tinted Clearcoat",-2603.50303335189
"modelTLX Tech",-2597.26056750181
"engine2L I-4 gasoline direct injection, MultiAir2 variable valve contr",-2596.71436153654
"ext_col.Vulcano Black Metallic",-2596.20521390298
"int_col.Red/Black",-2595.97503968236
"model740 i",-2595.52615356708
"modelRover Range Rover Sport Supercharged",-2594.45746587841
"int_col.Charcoal",-2594.24497007088
"modelXJ6 Vanden Plas",-2592.72427587817
"ext_col.Tan",-2592.63697717415
"engine310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability",-2592.01649343884
"engine298.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-2590.9700457081
"engine208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid",-2590.15836104443
"modelExcursion Limited",-2588.80643043768
"int_col.Oyster W/Contrast",-2588.73885109768
"modelXF 3.0 Portfolio",-2587.27094955632
"engine380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-2584.60665082602
"engine146.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-2581.35478328189
"modelSeltos S",-2581.3253246814
"modelGrand Cherokee Altitude",-2575.1408341862
"modelExpedition EL Limited",-2572.74771229753
"modelFX37 Base",-2571.72517245375
"modelF-TYPE V6 S",-2571.28310733478
"engine3.0 Liter SC ULEV",-2571.11941596504
"engine282.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability",-2570.80124784241
"modelModel 3 Mid Range",-2570.13901026052
"modelMazda6 Carbon Edition",-2565.89329007346
"ext_col.Gun Metallic",-2565.01809367893
"model650 i xDrive",-2563.62021500707
"modelWrangler Unlimited",-2560.50659578814
"modelMustang EcoBoost Premium",-2559.70669066698
"modelSportage X-Pro",-2557.14721622495
"ext_col.Jungle Green",-2556.57104391283
"modelMazda6 Grand Touring Reserve",-2556.37543977748
"modelFrontier SL",-2555.92014732411
"modelbZ4X Limited",-2554.04122113415
"modelQ3 S line Premium Plus",-2551.94600435314
"modelZ4 sDrive28i",-2550.74415740143
"modelWrangler Sahara",-2549.86471445836
"model230 i",-2547.69564217259
"engine510.0HP 5.5L 12 Cylinder Engine Gasoline Fuel",-2546.85578665944
"modelRover Range Rover Sport HSE",-2543.14699472726
"modelRomeo Giulia Ti",-2541.75915889303
"ext_col.Ebony Black",-2538.78106160245
"modelQ5 Premium",-2537.40428214734
"brandAcura",-2536.97205355809
"engine386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel",-2533.43032013395
"modelF-PACE 35t Premium",-2532.87937163293
"modelXK Base",-2532.60647281243
"modelRam 1500 SLT Mega Cab",-2529.40531073615
"modelMustang GT Premium",-2526.6141305616
"engine192.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid",-2524.41756089148
"engine280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-2523.0553969546
"modelBRZ Premium",-2520.82018952173
"modelLS 460 Crafted Line",-2520.66420698811
"modelModel S 70D",-2518.89482600846
"engine518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",2517.85758508321
"modelA7 Premium",-2514.61676013506
"engine271.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-2514.44275626844
"engine276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-2513.11065115207
"modelElantra N Base",-2513.10162631258
"modelZ4 sDrive35is",2511.36886585728
"ext_col.Isle of Man Green Metallic",2507.82163309361
"int_col.Kyalami Orange",2507.79589433659
"ext_col.Pearl White",2507.64017987426
"engine3.0L I6 24V GDI DOHC Twin Turbo",2507.55713827243
"modelRX 350 Base",-2506.82495509808
"modelBeetle 2.0T Final Edition SE",-2505.50870657304
"int_col.Orange",2502.93958163121
"modelSprinter Normal Roof",2502.64745757068
"modelAccord Hybrid Base",-2498.59259636228
"modelSLC 300 Base",-2496.77049891403
"engine305.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid",-2493.83202581734
"modelMaverick XLT",-2492.84967102832
"modelModel 3 Long Range",-2492.11492000848
"modelC-HR LE",-2487.17353391474
"engine6.6L V8 32V DDI OHV Turbo Diesel",2486.74476020939
"modelXLR V",-2482.68415294466
"ext_col.Deep Blue Metallic",-2482.67264776048
"engine443.0HP 4.4L 8 Cylinder Engine Gasoline Fuel",-2482.57060516977
"modelExpedition Timberline",2482.34141928177
"model2500 Powerwagon",-2481.84288680982
"modelCX-30 Premium Package",-2481.65792399799
"modelEscalade ESV Platinum Edition",-2480.89503845115
"modelCX-5 Grand Touring",-2478.4963260053
"modelSanta Cruz 2.5T Limited",-2472.25728930304
"ext_col.Hampton Gray",-2471.53939982702
"ext_col.Dark Slate Metallic",-2470.99450458924
"int_col.Ebony / Ebony Accents",-2470.9937664453
"modelCorvette Base",-2466.53981681419
"modelM2 Base",2462.44282063089
"modelCayman Base",-2462.35322461926
"engine290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability",-2461.10202867348
"modelWrangler Unlimited Sport",-2458.95568173547
"modelXT5 Premium Luxury",-2457.63974623235
"modelCamaro LT1",-2453.03661575949
"modelC-Class C300 4MATIC",-2451.69115846772
"int_col.Deep Cypress",2450.88161617994
"ext_col.Dark Matter Metallic",2450.83267240935
"modelTahoe LTZ",-2450.12836592439
"modelF-150 Lariat SuperCrew",-2445.9878191282
"engine279.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-2441.94527583346
"modelRDX Base",-2441.8703166954
"modelDurango GT",-2434.20207110446
"ext_col.Machine Gray Metallic",-2427.38009697796
"modelNavigator Base",-2426.21337282495
"engine403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability",-2423.96192638447
"modelRX 450h Base",-2422.62490696983
"engine335.0HP 6.6L 8 Cylinder Engine Diesel Fuel",-2422.44254006293
"modelMKZ Reserve I",-2421.50540786581
"engine260.0HP 5.7L 8 Cylinder Engine Gasoline Fuel",-2421.15646991943
"ext_col.Silver Ice Metallic",-2419.92006606148
"model911 Carrera 4 Cabriolet",-2416.60653871874
"engine315.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel",-2416.51247956876
"transmission.5-Speed Automatic",-2412.6967857036
"engine3.6 Liter",-2411.81178669024
"modelSuburban 1500 LTZ",-2407.25971580242
"modelCX-30 Base",-2405.56093031247
"modelA8 L 3.0T",-2396.38852322714
"engine248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-2396.30712806775
"engine340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-2394.81558370097
"modelTTS 2.0T Premium Plus",-2389.96843185496
"modelNX 300h Base",-2389.63471046602
"engine230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel",-2389.46006341748
"engine2.5L I4 16V MPFI DOHC Hybrid",-2389.45993636926
"modelTiguan 2.0T SEL Premium R-Line",-2389.28400195452
"modelTLX",-2388.83297067957
"engine236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel",-2384.14924398727
"engine3.6L V6 24V GDI DOHC",-2382.49842158961
"engine197.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-2380.88260360777
"int_col.Sport",-2379.69266693409
"ext_col.Red",2376.52832038068
"modelCLS-Class CLS 400 4MATIC",-2375.03009672446
"brandNissan",-2373.00039013173
"modelMDX Technology",-2372.55592124255
"engine350.0HP 6.4L 8 Cylinder Engine Diesel Fuel",-2368.35414829877
"modelS-Class S 65 AMG",2366.12588853681
"engine621.0HP 6.0L 12 Cylinder Engine Gasoline Fuel",2366.10337501026
"engine400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel",-2365.98537427524
"engine290.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability",-2364.54965309526
"ext_col.Radiant Red Metallic II",-2363.50454730706
"engine237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-2362.09661370746
"ext_col.Hellayella Clearcoat",-2360.40431116447
"modelForester Premium",-2360.29294769014
"modelMurano SV",-2360.14724648223
"ext_col.Carpathian Grey Premium Metallic",-2359.83292877628
"int_col.Cloud",-2359.59487772456
"modelPilot EX-L",-2358.60447574721
"int_col.Black / Saddle",2354.88800283325
"modelF-250 XLT Crew Cab Super Duty",-2353.73843638533
"engine310.0HP 4.7L 8 Cylinder Engine Flex Fuel Capability",-2353.30327956571
"modelModel S Performance",-2352.44084518785
"engine416.0HP Electric Motor Electric Fuel System",-2352.10417581666
"modelSprinter 4500 High Roof",-2351.89076036002
"modelGhibli S GranLusso",-2351.89025606537
"engine350.0HP 3.7L V6 Cylinder Engine Gasoline Fuel",-2347.78779350166
"engine3.5 Liter",-2347.77655551561
"int_col.Red / Black",2345.96049351237
"engine3.8L V8 32V GDI DOHC Twin Turbo",2345.61034906598
"modelLevante GTS",2345.2532662364
"modelSilverado 1500 Limited Custom",-2345.12830986738
"engine2.7 Liter DOHC Turbo",-2345.07808161239
"modelRomeo Stelvio Base",-2342.94787239219
"modelAcadia Denali",-2341.63882105718
"modelCTS-V Base",-2338.51897138536
"engine416.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",2337.74741663029
"modelLS 500 F Sport",2337.69432148855
"modelGrand Cherokee Summit",-2333.21542107883
"engine6.2 Liter",-2324.53677914702
"engine224.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-2322.12206386389
"modelSilverado 3500 High Country",2321.59243238493
"modelEnvision Essence",-2321.25177113622
"engine3.5 Liter GTDI",-2320.22880015677
"ext_col.Ingot Silver Metallic",-2319.67244835461
"engine300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel",-2315.20120877082
"engine325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel",-2314.83357497365
"engine550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",2314.54333118233
"modelRover Range Rover 5.0L V8 Supercharged",2313.94032482152
"engine605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",2313.44478688687
"engine405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel",2312.02306901354
"modelM2 Competition",2311.88882375278
"modelMarauder Base",-2310.32672656773
"modelRover LR4 HSE",-2307.99306125451
"ext_col.Soul Red Crystal Metallic",-2307.39366006787
"ext_col.DB Black Clearcoat",-2306.81970393456
"modelE-Class E 300 4MATIC",-2304.49585223919
"modelYukon SLE",-2301.75702528104
"modelEscalade Platinum",2300.56584774064
"modelRX 350 F Sport",-2299.55135334831
"modelMDX 3.5L Technology Package",-2296.8344629175
"modelTLX A-Spec",-2296.74617405413
"modelX5 eDrive xDrive40e",-2295.87122588134
"engine313.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas",-2295.75753667017
"int_col.Parchment",-2293.69333532028
"modelTahoe Premier",2291.45052706449
"ext_col.Snowflake White Pearl",-2288.09556427952
"engine2.5L I4 16V PDI DOHC Turbo",-2287.4060012338
"engine191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid",-2286.8954496318
"engine325.0HP 6.0L 8 Cylinder Engine Diesel Fuel",-2286.83183167063
"ext_col.Sting Gray Clearcoat",-2285.95764429247
"modelXC90 T6 Momentum",-2285.10712832517
"ext_col.Metallic",-2284.61337107655
"modelTLX Type S PMC Edition",2276.66522434088
"modelGTO Base",-2270.04652257481
"modelSanta Fe Sport 2.0L Turbo",-2269.86463715557
"modelAMG C 43 Base",-2269.84165173406
"modelEscape PHEV SE",-2268.83486033116
"engine221.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas",-2268.80124290228
"modelGLC 300 GLC 300",-2263.0330102025
"modelE-Class E 400",-2256.70090075534
"ext_col.Octane Red Pearlcoat",-2255.76836385725
"engine227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-2255.20226598891
"engine3.0 Liter DOHC Twin Turbo",-2252.38729271316
"engine255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-2248.5748950089
"modelTitan SL",-2247.97197109987
"modelXC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger",2246.63313102969
"modelA5 2.0T Prestige",-2242.84370298354
"engine440.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-2241.00239074387
"engineV6",-2240.0209991373
"engine2.0 Liter Turbo",-2239.64567052377
"int_col.Ivory / Ebony",-2239.26649272761
"ext_col.Magnetic Black",-2236.48398645101
"engine2.5L I4 16V MPFI DOHC",-2236.42545682552
"engine2L I-4 gasoline direct injection, DOHC, intercooled turbo, engin",-2233.21070265355
"ext_col.Granite Crystal Metallic Clearcoat",-2232.7558142613
"engine360.0HP 6.6L 8 Cylinder Engine Diesel Fuel",-2230.53918368218
"modelSilverado 2500 LT H/D Extended Cab",-2230.37982222757
"engine228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-2229.57341974855
"int_col.Medium Stone",-2228.87252196143
"modelSRX Standard",-2228.58449969391
"model750 i",-2227.32337811588
"engine355.0HP Electric Motor Electric Fuel System",2223.35868719116
"int_col.Pearl Beige",-2222.55888956754
"brandLincoln",-2220.60585218036
"modelF-150 XL",-2220.57292987698
"int_col.Shara Beige",-2219.19038922361
"ext_col.Maroon",-2215.87336971153
"modelEV6 Wind",-2215.15398494319
"engine111.2Ah / FR 70kW / RR 160kW (697V)",-2214.856414183
"modelAviator Reserve AWD",2214.70448258146
"ext_col.Glacier",-2214.16970832278
"modelAccord Sport",-2212.85446773034
"brandVolvo",-2207.99510405345
"engine455.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas",2207.10820847408
"model2 Launch Edition",-2206.12696862682
"brandPolestar",-2205.94706037155
"ext_col.Thunder Gray",-2205.35977371697
"int_col.Black/Saddle Brown",2191.92378222733
"ext_col.Emerald Green Metallic",2191.66571720619
"modelE-Class AMG E 53",2190.7039368843
"modelAMG GL AMG GL 63 4MATIC",-2190.27787633969
"engine550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel",-2190.19179367595
"ext_col.Imperial Blue Metallic",-2189.99174882931
"modelRover Discovery HSE",-2184.83295798392
"modelX3 xDrive30i",-2183.78616318711
"int_col.Anthracite",2182.09214051981
"engine3.0 Liter DOHC Turbo",2181.27223583275
"modelM4 CS",2181.07709195933
"engine2.5L H4 16V GDI DOHC",-2178.47289481863
"ext_col.Crystal Black Silica",-2178.33909914625
"modelRover Range Rover Sport 3.0L Supercharged HSE",-2176.18845043567
"modelG80 3.8",-2170.90381476904
"int_col.Mesa",2170.63185622625
"engine420.0HP 4.8L 8 Cylinder Engine Gasoline Fuel",-2168.3605947214
"ext_col.Sunset Drift Chromaflair",-2164.28208394414
"transmission_grp.6-Speed A/T",-2163.77647977165
"transmission.6-Speed A/T",-2163.65189027266
"modelS4 3.0T Premium Plus",-2159.45037737044
"engine355.0HP 5.7L 8 Cylinder Engine Gasoline Fuel",-2159.39277701926
"modelRam 2500 ST",-2159.19708229456
"engine315.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability",-2157.65350153004
"modelYukon SLT",-2156.24944179268
"engine500.0HP 4.8L 8 Cylinder Engine Gasoline Fuel",-2154.62223502485
"modelAMG GLE 43 4MATIC Coupe",2149.50517700253
"modelS3 2.0T Premium Plus",-2146.59013547654
"engine2.0L I4 16V GDI SOHC Turbo",-2144.2420346077
"modelQ8 55 Premium Plus",2143.89054488182
"modelExcursion XLT 4WD",-2141.86137849484
"engine420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",-2141.55572114938
"ext_col.Oxford White",2141.4435713073
"ext_col.Navarre Blue",-2140.8689901023
"int_col.Chateau",-2140.20432562337
"modelSilverado 3500 LTZ",2139.82437300468
"modelRS 4 Base",-2136.22116294391
"model4Runner Trail",-2132.91261843088
