"feature","coefficient"
"engine345.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-7766.31426854843
"modelS8 4.0T quattro",7739.58828770035
"modelBronco Raptor",7729.45517396543
"engine277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel",7719.53662136938
"modelCoupe Cambiocorsa",-7717.35407060406
"engine390.0HP 4.2L 8 Cylinder Engine Gasoline Fuel",-7717.13998153216
"engine496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid",7703.48694956753
"modelGT-R Premium",7675.4899969408
"engine521.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",7653.82357341086
"modelContinental GT V8 S",7653.57584613539
"int_col.Tan",7555.17316352734
"engine405.0HP 4.2L 8 Cylinder Engine Gasoline Fuel",-7455.22106432416
"ext_col.Rift Metallic",7403.8646456255
"engine6.2L V8 16V GDI OHV Supercharged",7403.62828282494
"modelCT5-V Blackwing",7403.42883295518
"modelYukon XL Denali",7385.29697081631
"modelAMG G AMG G 63 4MATIC",7360.86890694983
"modelAMG GT Base",7341.49635028424
"engine471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",7319.41754425138
"modelTaycan Turbo",7279.56395733259
"modelModel X Base",7275.63400365151
"model911 Carrera",7169.00983197328
"ext_col.Frozen Dark Silver Metallic",7135.36115462868
"ext_col.Gentian Blue Metallic",7118.44357635402
"transmission.2-Speed Automatic",7118.20977035421
"engine404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-7081.87535058616
"brandLucid",7076.65797699746
"engine702.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",7020.06813652226
"engine591.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",7000.12238519463
"modelRS Q8 4.0T",7000.05810477774
"modelCorvette Stingray w/3LT",6966.24193798226
"engine650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",6947.50674629901
"engine450.0HP 4.5L 8 Cylinder Engine Gasoline Fuel",-6884.28965630733
"modelX7 M50i",6872.75053679296
"ext_col.Blu",6866.41563560839
"modelQuattroporte Modena Q4",6865.5835191894
"engine533.0HP Electric Motor Electric Fuel System",6854.03080341937
"modelM4 Competition",6780.32399623713
"engine6.4L V8 32V DDI OHV Twin Turbo Diesel",-6779.96904278156
"engine482.0HP Electric Motor Electric Fuel System",6769.24192200242
"modelTaycan 4S",6768.82747053323
"modelCaliber Express",-6755.7191496019
"engine760.0HP 5.2L 8 Cylinder Engine Gasoline Fuel",6746.69796168926
"modelRS Q8 4.0T quattro",6720.32017283278
"engine582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel",6706.28897375217
"modelA3 2.0T",-6689.55864205442
"brandPorsche",6556.98956068189
"transmission.10-Speed Automatic with Overdrive",6518.69782789322
"modelLC 500 Base",6484.41048336763
"modelRover Defender X",6424.55923759139
"modelF-350 Platinum",6405.39209058175
"int_col.Black/Red",6399.92343281603
"engine4.0 Liter TFSI",6398.97472239196
"modelRS 7 4.0T",6398.62367210984
"engine362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid",6342.67686676353
"modelLeaf SL",-6291.46505749884
"engine107.0HP Electric Motor Electric Fuel System",-6291.35920711343
"modelM3 CS",6262.41430146272
"engine563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel",6224.50892454264
"engine575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",6223.47477903206
"engine600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel",6211.72243540965
"modelModel X Long Range",6208.48397628998
"engine490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",6200.8616762578
"modelR1S Adventure Package",6188.125518492
"modelSupra A91-MT Edition",6154.8400871824
"engine3.0L I6 24V DDI DOHC Turbo Diesel",6129.28061368751
"engine405.0HP 4.8L 8 Cylinder Engine Gasoline Fuel",-6109.17943445856
"engine369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas",6108.67509023947
"engine560.0HP 5.2L 10 Cylinder Engine Gasoline Fuel",6095.1395389356
"modelGallardo LP560-4",6094.57846613364
"modelSonic LT",-6091.70596694823
"engine252.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-6086.07650012901
"modelMalibu LTZ",-6086.05694959766
"engine4.4 Liter Twin Turbo",6057.74583214439
"modelYukon XL AT4",6049.92876542348
"int_col.Caramel",6038.31975213652
"ext_col.Nightfall Mica",6038.08053877084
"modelGhibli S Q4",-6034.90746367673
"ext_col.Ametrin Metallic",6007.31668997773
"modelShelby GT350R Base",5996.22090058456
"modelLX 570 Three-Row",5989.26091499624
"modelM4 Competition xDrive",5985.78215148702
"modelSLK-Class SLK320",-5981.78408192279
"engine365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",5971.28357854961
"modelEscalade Premium Luxury",5969.53584776591
"modelA-Class A 220 4MATIC",-5966.14696501127
"brandRivian",5956.06316822038
"engine429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid",5938.00224513277
"engine835.0HP Electric Motor Electric Fuel System",5877.40053092746
"modeli3 Base w/Range Extender",-5845.43937609628
"engine385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel",5844.55473011452
"model911 Carrera 4S",5839.55543858509
"modelLaCrosse CX",-5838.74850542648
"modelR1S Launch Edition",5780.03115879255
"modelXJ Base",-5776.30895129225
"model911 Carrera 4",5770.04696215327
"modelX5 3.0i",-5757.97266876984
"engine168.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-5739.11913012903
"ext_col.Infrared Tintcoat",5736.4545483486
"ext_col.Black Raven",5734.36539014907
"modelG-Class G 63 AMG",5729.21796792572
"modeli3 94 Ah",-5705.43604701487
"modelCube 1.8 S",-5704.41844093969
"ext_col.Donington Grey Metallic",5676.63939107539
"modelDeVille Base",-5674.48280732599
"engine140.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-5655.81677967442
"modelEclipse Spyder GS",-5655.7970783912
"modelMazda3 s Sport",-5639.69869736805
"modelTT 1.8L",-5624.59433955067
"engine2L I-4 gasoline direct injection, DOHC, variable valve control,",-5613.15962419568
"modelC-Class 4MATIC Sedan",-5612.94612654091
"engine603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",5612.51448082352
"modelAMG E 63 S 4MATIC",5612.45523985047
"modelAMG GT AMG GT S",5603.1110163643
"modelX5 xDrive40e",-5599.26462776792
"modelTaycan",5593.26728803221
"engine375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid",5570.97109648403
